# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
6.009304177764125399e+00 1.920044357212743959e-04 3.452999999999999958e-01 3.029999999999999916e-01 4.515979590280493907e-04 1.906182944821921193e-03
6.009855743754191515e+00 1.922679287092605440e-04 3.452638721632777519e-01 3.028475053644142378e-01 -5.671738634305256032e-05 2.903136930854088426e-03
6.009411916339784554e+00 1.924059833827321091e-04 3.452684095541851961e-01 3.026152544099459107e-01 7.359481024593604896e-04 4.545888110385475924e-04
6.009652494869773598e+00 1.924928911691095080e-04 3.452095337059884472e-01 3.025788873050628269e-01 -5.667851077362229262e-04 -1.008355621223699927e-03
6.009786534068982000e+00 1.936154445902783111e-04 3.452548765146073451e-01 3.026595557547607229e-01 -7.924532141601048352e-05 2.442881008590802594e-03
6.009521154020178280e+00 1.918768452290244161e-04 3.452612161403206259e-01 3.024641252740734587e-01 1.490907841628086317e-04 -3.167562478978424700e-03
6.009489194255949407e+00 1.909510607794989419e-04 3.452492888775876012e-01 3.027175302723917327e-01 3.855469721258941176e-04 6.692713228062529239e-03
6.009747950808068673e+00 1.915451076385119510e-04 3.452184451198175297e-01 3.021821132141467303e-01 6.701097454708814264e-04 -7.168615479002936851e-03
6.009411900445146948e+00 1.925226295133009274e-04 3.451648363401798592e-01 3.027556024524669653e-01 7.072484820014324214e-05 -5.081888865277051082e-03
6.009301724502154940e+00 1.917409913320774931e-04 3.451591783523238477e-01 3.031621535616891294e-01 7.848385941144896431e-04 3.819229466017759044e-03
6.009667301368811110e+00 1.919529368253993277e-04 3.450963912647946885e-01 3.028566152044077087e-01 5.849102535648853518e-04 -2.584220837320572173e-03
6.009517153993304106e+00 1.920304469986085542e-04 3.450495984445094977e-01 3.030633528713933544e-01 -7.722977812818498933e-05 -1.306689245694769852e-03
6.009673787178849480e+00 1.934110868198716539e-04 3.450557768267597525e-01 3.031678880110489360e-01 4.471978343190130545e-06 2.973104074044385491e-03
6.009700375282177376e+00 1.915027624285768940e-04 3.450554190684922973e-01 3.029300396851253852e-01 2.119564967983933186e-04 -1.604676036492946661e-03
6.009607580582353670e+00 1.921726877968401822e-04 3.450384625487484258e-01 3.030584137680448209e-01 3.948073867832135333e-04 3.196382092340854363e-03
