# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
8.666882985613261425e+00 1.843522005044718982e-04 1.670000000000000095e-01 3.880000000000000115e-01 -1.944440342072084387e-03 -7.348212704982869407e-04
8.667038839470086131e+00 1.823851536563111410e-04 1.671555552273657763e-01 3.880587857016398745e-01 1.734252563778681871e-03 4.824933164115918771e-03
8.666738945928866400e+00 1.831755072450137268e-04 1.670168150222634817e-01 3.876727910485106010e-01 -3.505595103092673092e-03 1.447578057423015490e-03
8.666861843727712511e+00 1.829214866925352374e-04 1.672972626305108956e-01 3.875569848039167598e-01 -2.790279474140788373e-03 -6.981407452144593488e-04
8.666949835570546767e+00 1.861796971886860088e-04 1.675204849884421587e-01 3.876128360635339165e-01 1.367030755261566593e-03 3.292236172569573249e-03
8.666824297585332459e+00 1.836762077124224517e-04 1.674111225280212334e-01 3.873494571697283506e-01 -2.494146045251000032e-03 5.200579522579573677e-04
8.667171580666881425e+00 1.826808041438715059e-04 1.676106542116413134e-01 3.873078525335477140e-01 -2.420180678086580883e-03 8.215893743113155149e-04
8.666690060496577530e+00 1.835194486994592500e-04 1.678042686658882399e-01 3.872421253836028088e-01 -1.904443003297728648e-03 2.146844479966602832e-04
8.666737147660859009e+00 1.829662922157020036e-04 1.679566241061520582e-01 3.872249506277630759e-01 1.562451501513350887e-03 1.298291074647295318e-03
8.666944195281185870e+00 1.844520039625223288e-04 1.678316279860309901e-01 3.871210873417912923e-01 5.387093438002921175e-04 1.028188201246393874e-03
8.666552954854076063e+00 1.859237835853407668e-04 1.677885312385269667e-01 3.870388322856915808e-01 6.022517595738463569e-04 3.077824217712077370e-04
8.666892793516039362e+00 1.877790801238239768e-04 1.677403510977610590e-01 3.870142096919498842e-01 -3.603008025265807667e-03 -6.984400613418983127e-03
8.667024186670687413e+00 1.839195095420393929e-04 1.680285917397823237e-01 3.875729617410234029e-01 2.064986226457676821e-03 5.023315097218983283e-04
8.667064349375005250e+00 1.843483115807812540e-04 1.678633928416657095e-01 3.875327752202456510e-01 -4.162581390687591378e-04 2.704364376882039799e-03
8.667053128012367935e+00 1.846713422039350505e-04 1.678966934927912102e-01 3.873164260700950878e-01 -1.558978901528007338e-03 -8.578513899237804078e-04
8.667044918514660523e+00 1.836112143398279783e-04 1.680214118049134508e-01 3.873850541812889903e-01 -5.862917262788869266e-04 -5.288381288437449257e-04
8.666955635936487212e+00 1.841852181107898315e-04 1.680683151430157618e-01 3.874273612315964899e-01 8.232010628717033622e-04 2.729825965275267229e-03
8.666924652681998964e+00 1.861868585383271238e-04 1.680024590579860255e-01 3.872089751543744685e-01 -2.792956976804816804e-04 7.667035006875265761e-04
8.666953814230822672e+00 1.833838812358887206e-04 1.680248027138004641e-01 3.871476388743194663e-01 1.540113458986524858e-03 4.289964472548035701e-03
8.666853949022184977e+00 1.820255600343862899e-04 1.679015936370815421e-01 3.868044417165156235e-01 -7.299549409367499546e-04 1.812647809629197365e-03
8.666795468174600003e+00 1.845395791486946621e-04 1.679599900323564821e-01 3.866594298917452877e-01 3.501986256537747543e-03 -2.772138074647045869e-04
8.666780935568057842e+00 1.854707564392569607e-04 1.676798311318334622e-01 3.866816069963424640e-01 -1.103447466732632165e-03 -3.673184423291785974e-04
8.667164631499632677e+00 1.821766061053665649e-04 1.677681069291720728e-01 3.867109924717287983e-01 2.107375607351968667e-04 -1.327439491660697968e-04
8.666678547680364275e+00 1.844378235309078245e-04 1.677512479243132570e-01 3.867216119876620839e-01 -2.565994350334221963e-03 -4.871507996995205758e-03
8.667183982784237628e+00 1.833595933914541822e-04 1.679565274723399948e-01 3.871113326274217004e-01 2.913865415621330179e-03 3.128350734016293721e-03
8.667116427644694809e+00 1.852886297137226865e-04 1.677234182390902884e-01 3.868610645687003968e-01 -1.690501250095621582e-03 -1.294038298738087178e-03
8.666864789672736435e+00 1.834163812265737943e-04 1.678586583390979381e-01 3.869645876325994438e-01 -2.299026391483494081e-03 5.377188472266425379e-04
8.667146079177721063e+00 1.836442421318841014e-04 1.680425804504166176e-01 3.869215701248213124e-01 -1.802526838901030498e-03 -3.446132268436485901e-05
8.667175567201901742e+00 1.861592677258185155e-04 1.681867825975287001e-01 3.869243270306360616e-01 -1.754573908385736796e-03 1.919648084935942972e-03
8.666486211306208887e+00 1.834141449064719291e-04 1.683271485101995590e-01 3.867707551838411861e-01 -9.478657858608129127e-05 1.921429770845861423e-03
8.667262815358574457e+00 1.826006318479857639e-04 1.683347314364864455e-01 3.866170408021735172e-01 1.776660063512735871e-03 8.771042558919360825e-04
8.666789939627813411e+00 1.842303844784627556e-04 1.681925986314054267e-01 3.865468724617021623e-01 -8.337110557476988841e-04 -1.631455326389641197e-03
8.667049588211407141e+00 1.832095840815111168e-04 1.682592955158652426e-01 3.866773888878133336e-01 1.438827723632130073e-04 2.719550096230704660e-03
8.667010298184226968e+00 1.841936366416309096e-04 1.682477848940761855e-01 3.864598248801148772e-01 1.005861882674707886e-03 -1.539399718808454054e-04
8.667366021343523741e+00 1.836024790803751107e-04 1.681673159434622089e-01 3.864721400778653448e-01 -1.808887972742922795e-03 -7.662988110723744327e-03
8.666892111987802849e+00 1.838991288176975390e-04 1.683120269812816427e-01 3.870851791267232445e-01 1.345879141467775991e-03 3.949582350060154567e-03
8.667119513825332078e+00 1.838889875763027979e-04 1.682043566499642206e-01 3.867692125387184321e-01 -8.582579980043191252e-04 -1.206461774927447550e-03
8.667002550668936323e+00 1.831002173148206849e-04 1.682730172898045662e-01 3.868657294807126279e-01 3.158486805432403344e-05 -4.604238768024515051e-04
8.666852321510626567e+00 1.849360579451018343e-04 1.682704905003602203e-01 3.869025633908568240e-01 -1.529478055317667678e-03 3.956627026013847539e-04
8.667197651708322681e+00 1.825306655734565669e-04 1.683928487447856337e-01 3.868709103746487132e-01 3.121436620290296126e-03 1.333671129088997770e-03
8.666935618182739276e+00 1.825664171937634766e-04 1.681431338151624100e-01 3.867642166843215934e-01 -5.758885990303496370e-03 -7.004730129267499293e-03
8.667196906212895513e+00 1.837190400223302788e-04 1.686038446943866898e-01 3.873245950946629934e-01 4.140282072739864816e-03 9.113752952316644951e-03
8.667351598687268677e+00 1.836880780333449703e-04 1.682726221285675006e-01 3.865954948584776618e-01 -1.798372650796409072e-03 -2.018385103497166710e-03
8.667428844564579293e+00 1.831402955245362235e-04 1.684164919406312133e-01 3.867569656667574352e-01 1.079945022297579136e-04 -2.276819088820047909e-03
8.666988131608716728e+00 1.861727321282907646e-04 1.684078523804528327e-01 3.869391111938630390e-01 1.615396705290095053e-03 1.338774247017226809e-03
8.667275090878529653e+00 1.833753476598326429e-04 1.682786206440296251e-01 3.868320092541016608e-01 -1.912697200623369792e-03 1.394440118929196615e-07
8.667185951202780458e+00 1.834842742501042144e-04 1.684316364200794947e-01 3.868319980985807094e-01 -6.416591702418372734e-04 3.560278472036770402e-03
8.667340254443312020e+00 1.865380802681617549e-04 1.684829691536988416e-01 3.865471758208177677e-01 1.573195795856463302e-03 3.997898545549105620e-03
8.667315194378739207e+00 1.854626857393157076e-04 1.683571134900303246e-01 3.862273439371738393e-01 3.044499763404928672e-04 7.722919193042797640e-04
8.666974063567979059e+00 1.841124015370068255e-04 1.683327574919230851e-01 3.861655605836294969e-01 1.411403793838416970e-03 -2.438824964201558032e-03
8.666909522166180935e+00 1.848183932925136057e-04 1.682198451884160117e-01 3.863606665807656215e-01 -1.409335403934619318e-03 -3.640062296028645072e-03
8.667221555429536650e+00 1.839458509286277191e-04 1.683325920207307813e-01 3.866518715644479132e-01 -2.658779152397982692e-03 -2.922112152248245841e-03
8.667375419955748228e+00 1.819001000931637141e-04 1.685452943529226200e-01 3.868856405366277729e-01 8.724486022515519660e-04 2.128822806923835742e-03
8.666993424288820691e+00 1.829074659401749544e-04 1.684754984647424958e-01 3.867153347120738660e-01 4.886674176418637217e-04 -4.459067781681368982e-04
8.666914884059741198e+00 1.827756054843008378e-04 1.684364050713311467e-01 3.867510072543273170e-01 -7.792873901735218904e-04 -8.687148778108165796e-04
8.667213506781399346e+00 1.843840695236286908e-04 1.684987480625450285e-01 3.868205044445521823e-01 9.989143734401295660e-04 1.888068901223505019e-03
8.667181446787550314e+00 1.850176658279133603e-04 1.684188349126698181e-01 3.866694589324543019e-01 -2.198436455103092158e-03 -2.248203045951413515e-03
8.667167125280325735e+00 1.828673653001993739e-04 1.685947098290780655e-01 3.868493151761304150e-01 3.545411786376461826e-03 3.382864299794618567e-03
8.667263764242548518e+00 1.841699566006303106e-04 1.683110768861679485e-01 3.865786860321468454e-01 5.218991461219957273e-04 3.077032673104440185e-03
8.666933005956856562e+00 1.847717388453496443e-04 1.682693249544781888e-01 3.863325234182984902e-01 -9.481427198920754388e-04 -2.451933944769280060e-03
8.667090830106076282e+00 1.863703954619448677e-04 1.683451763720695549e-01 3.865286781338800326e-01 2.009246280465504242e-03 2.039417701382717496e-03
8.667138322311240373e+00 1.826537052270913928e-04 1.681844366696323145e-01 3.863655247177694152e-01 -1.835645768721860588e-03 -2.496804718532530387e-03
8.667176121804079258e+00 1.824954453328529443e-04 1.683312883311300634e-01 3.865652690952520176e-01 1.400393756512130277e-03 -4.287290522597685962e-04
8.667025729247738397e+00 1.850090952707947832e-04 1.682192568306090930e-01 3.865995674194327991e-01 2.326137327202104643e-03 2.682216582172713536e-03
8.667154270668740779e+00 1.922258605821094231e-04 1.680331658444329246e-01 3.863849900928589820e-01 -3.810380455604444726e-03 1.316915820837039064e-03
8.666978007230282444e+00 1.849391565880423771e-04 1.683379962808812802e-01 3.862796368271920189e-01 7.146692126980268593e-04 -8.146217922444519725e-04
8.667100824696555961e+00 1.859425313412896004e-04 1.682808227438654380e-01 3.863448065705715750e-01 -1.121139625581690780e-03 -1.008461580909170152e-03
8.667406385279777581e+00 1.824149516897972999e-04 1.683705139139119733e-01 3.864254834970443087e-01 2.851405511705706452e-03 -2.905567519917439789e-03
8.667186363634153068e+00 1.833992881394595276e-04 1.681424014729755168e-01 3.866579288986377039e-01 -1.920166603497363905e-03 -2.593410997064893309e-03
8.666926385061259452e+00 1.826913573861440785e-04 1.682960148012553059e-01 3.868654017784028953e-01 5.687315507429957506e-04 -1.170619157164764924e-07
8.667184510555566490e+00 1.832097500073019648e-04 1.682505162771958662e-01 3.868654111433561527e-01 -5.858549201320784050e-04 -2.707712631888625331e-03
8.667204088774393966e+00 1.839615914219414321e-04 1.682973846708064325e-01 3.870820281539072427e-01 -8.779750260146100581e-05 4.398672714955864649e-03
8.667052507544525497e+00 1.824094634864022201e-04 1.683044084710145494e-01 3.867301343367107735e-01 1.695042328719864383e-03 4.430015465572977886e-04
8.667080731859213572e+00 1.832291679018593304e-04 1.681688050847169602e-01 3.866946942129861897e-01 3.728738207087189407e-04 -2.677698063280331214e-05
8.666602267880236354e+00 1.842402325267945428e-04 1.681389751790602627e-01 3.866968363714368140e-01 -1.966281182319562504e-03 -4.768504702212794655e-03
8.667049480798876715e+00 1.846139421154569665e-04 1.682962776736458277e-01 3.870783167476138376e-01 2.633119500217162567e-03 6.630765803095072485e-03
8.666950359940127413e+00 1.836600022810365115e-04 1.680856281136284547e-01 3.865478554833662317e-01 -3.824311889388809071e-03 -2.162313528231152304e-03
8.666953347744545511e+00 1.842277794556434990e-04 1.683915730647795594e-01 3.867208405656247239e-01 8.058012923584100288e-04 1.116726799921252677e-03
8.667055314748173700e+00 1.841349254577570008e-04 1.683271089613908866e-01 3.866315024216310237e-01 -2.282195943337228528e-03 -1.125261661627518925e-04
8.667322790332764981e+00 1.834755352209539562e-04 1.685096846368578649e-01 3.866405045149240438e-01 4.260838792902176832e-04 7.816485236844528117e-05
8.666921015031592290e+00 1.849167018637275673e-04 1.684755979265146475e-01 3.866342513267345682e-01 -6.837227672917832759e-04 -4.333358560870692057e-04
8.666843837187300892e+00 1.827628034983602094e-04 1.685302957478979902e-01 3.866689181952215337e-01 2.185119463149476360e-03 1.479333455733921948e-03
8.666905008490363826e+00 1.836889582451174175e-04 1.683554861908460321e-01 3.865505715187628200e-01 -7.568312199168757441e-04 2.043094582404592074e-03
8.666962986845588190e+00 1.830800400882828880e-04 1.684160326884393821e-01 3.863871239521704526e-01 -1.260237070255243452e-03 -3.298199047208072443e-04
8.667240556363763559e+00 1.836437211102826417e-04 1.685168516540598016e-01 3.864135095445481172e-01 1.581430097985503163e-03 -2.881849958669135525e-03
8.666979584264039360e+00 1.845980102026072969e-04 1.683903372462209613e-01 3.866440575412416480e-01 1.432713325755230254e-03 -8.150081498570215270e-04
8.667096722216808047e+00 1.832212771412057497e-04 1.682757201801605429e-01 3.867092581932302098e-01 4.678415876924190710e-04 1.385216208404926657e-03
8.667055921194833701e+00 1.832555639548641511e-04 1.682382928531451494e-01 3.865984408965578156e-01 -6.522830275912383513e-04 8.628212810890544286e-04
8.667289893429028780e+00 1.846904004993461660e-04 1.682904754953524484e-01 3.865294151940706913e-01 -1.023846252223847841e-03 -1.963910811753066810e-03
8.667004554590700849e+00 1.836872275737706241e-04 1.683723831955303563e-01 3.866865280590109366e-01 -2.791131237245280793e-03 -3.476803378532622012e-03
8.666860522871676409e+00 1.849515375213194317e-04 1.685956736945099788e-01 3.869646723292935464e-01 -5.164579874872287523e-05 -4.715991153148024208e-04
8.666891631323244027e+00 1.833077194100716470e-04 1.685998053584098766e-01 3.870024002585187306e-01 3.671313208997161858e-03 2.216135541743824433e-03
8.667226956563634843e+00 1.838656933594998220e-04 1.683061003016901036e-01 3.868251094151792246e-01 2.083574912603580742e-03 4.700979161498252692e-04
8.666974245291136469e+00 1.847199421297143220e-04 1.681394143086818171e-01 3.867875015818872386e-01 -2.948054245166531039e-03 -2.229670492681634641e-03
8.666715611759148175e+00 1.833448769286700314e-04 1.683752586482951397e-01 3.869658752213017694e-01 3.436421103231168239e-03 5.357519938797849178e-03
8.666804870873924926e+00 1.837114926511560387e-04 1.681003449600366462e-01 3.865372736261979414e-01 -1.383105363572667340e-03 -1.950274608475410516e-04
8.667171500326650957e+00 1.842078279651211399e-04 1.682109933891224596e-01 3.865528758230657447e-01 -3.923252123172460415e-03 -3.812209925513343044e-03
8.666744348611009841e+00 1.839558551720595189e-04 1.685248535589762564e-01 3.868578526171068122e-01 3.261398795473268841e-03 7.930351486606922488e-04
8.667107720621720190e+00 1.844027753266272961e-04 1.682639416553383949e-01 3.867944098052139568e-01 5.868116659257793799e-04 7.553202507892818910e-04
8.667265341748565888e+00 1.839542834852232051e-04 1.682169967220643325e-01 3.867339841851508142e-01 -1.789324244327872076e-03 2.869361992452467824e-03
