# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
1.040519839541223490e+01 2.639895118767903131e-04 2.250000000000000056e-01 5.010000000000000009e-01 2.180584068867119640e-03 -1.758392720319079455e-03
1.040565391864475764e+01 2.645483121061519872e-04 2.248255532744906360e-01 5.011406714176255273e-01 2.137827337378439552e-03 3.455049579770274617e-04
1.040562552106348626e+01 2.663774431989241083e-04 2.246545270875003608e-01 5.011130310209873651e-01 1.641550184672268880e-03 -1.633079627083588786e-03
1.040553864626086344e+01 2.646685453593647852e-04 2.245232030727265793e-01 5.012436773911540522e-01 2.672950039084298190e-03 1.292374740557988844e-03
1.040556446712119154e+01 2.613531805485156756e-04 2.243093670695998354e-01 5.011402874119094131e-01 3.168053197555309019e-03 1.613374323028437867e-03
1.040522756660069170e+01 2.643667913343178259e-04 2.240559228137954106e-01 5.010112174660671380e-01 2.041840652111659438e-03 -2.259696429973700744e-04
1.040557623320655622e+01 2.629884771219391493e-04 2.238925755616264779e-01 5.010292950375069276e-01 2.032327017786883516e-03 1.177518882400363509e-03
1.040570961994534827e+01 2.618271475809569619e-04 2.237299894002035272e-01 5.009350935269148986e-01 2.232565776694173110e-03 9.012481427816964067e-04
1.040534800510287106e+01 2.627819181712525332e-04 2.235513841380679934e-01 5.008629936754923628e-01 8.252420968801743584e-06 -7.984505501212878524e-04
1.040573645550747983e+01 2.605802592327370040e-04 2.235507239443904892e-01 5.009268697195020659e-01 7.438636373535699757e-04 -4.656783403333974460e-04
1.040520526484903030e+01 2.634528047165172831e-04 2.234912148534022036e-01 5.009641239867287377e-01 -9.343661844241067964e-04 -3.685506300143969859e-03
1.040536521500491851e+01 2.617591525022696275e-04 2.235659641481561322e-01 5.012589644907402553e-01 7.084803854695564951e-05 -2.042989599715383520e-03
1.040576348782592930e+01 2.638227595897022089e-04 2.235602963050723757e-01 5.014224036587174860e-01 2.313953295640658325e-03 1.977679175979574211e-03
1.040571252424096649e+01 2.643116119282358772e-04 2.233751800414211230e-01 5.012641893246391200e-01 2.106016694369827746e-03 1.025670570697911899e-03
1.040518912948162900e+01 2.652226330072444027e-04 2.232066987058715368e-01 5.011821356789832871e-01 2.568746815256872651e-03 -1.253197901007752080e-03
1.040587025459213777e+01 2.646528796423887548e-04 2.230011989606509870e-01 5.012823915110639073e-01 1.138182703641632543e-03 -4.391740304754420554e-05
1.040534632456463804e+01 2.647666429668472368e-04 2.229101443443596564e-01 5.012859049033077108e-01 4.899915140299526684e-04 -1.817980610496760857e-03
1.040541191513762698e+01 2.651411637730948455e-04 2.228709450232372602e-01 5.014313433521474517e-01 1.069380672902298102e-03 -4.967022348978389346e-04
1.040524226829186638e+01 2.650234692254820642e-04 2.227853945694050763e-01 5.014710795309392788e-01 3.388869629361578885e-04 -5.740879771565232659e-04
1.040511718829637999e+01 2.659483425900798490e-04 2.227582836123701837e-01 5.015170065691118007e-01 -1.851355868609516403e-03 -2.973193069522039444e-03
1.040593405444069930e+01 2.623853835547098733e-04 2.229063920818589450e-01 5.017548620146735638e-01 5.717971873764327029e-04 -5.456062268649475300e-04
1.040556371600795593e+01 2.634573118271829259e-04 2.228606483068688304e-01 5.017985105128227596e-01 1.942157012990719306e-03 -1.538248639576522475e-03
